Date,Lake,Tag Type,Serial Number,Tag Number,PIT Number,Biologger Number,Species,Treatment,Weight,Total_length,Std_length,ID,Notes
20/9/2022,Muddyfoot,V5-2x-GRN-0,1533581,H170-1802-59682,NA,NA,Perch,Control,46.4,17.6,15.2,,
20/9/2022,Muddyfoot,V5-2x-GRN-0,1533582,H170-1802-59683,NA,NA,Roach,Control,52.5,17.1,14.4,,
20/9/2022,Muddyfoot,V5-2x-GRN-0,1533583,H170-1802-59684,NA,NA,Roach,Control,75.6,19.8,16.9,,
20/9/2022,Muddyfoot,V5-2x-GRN-0,1533584,H170-1802-59685,NA,NA,Perch,Control,64,18.2,16.5,,
20/9/2022,Muddyfoot,V5-2x-GRN-0,1533585,H170-1802-59686,NA,NA,Perch,Control,59.2,18,16.3,,
20/9/2022,Muddyfoot,V5-2x-GRN-0,1533586,H170-1802-59687,NA,NA,Roach,Control,61.5,18.6,16,,
20/9/2022,Muddyfoot,V5-2x-GRN-0,1533587,H170-1802-59688,NA,NA,Perch,Control,101.1,21,19,,
20/9/2022,Muddyfoot,V5-2x-GRN-0,1533588,H170-1802-59689,NA,NA,Perch,Control,99.2,21.5,19,,
20/9/2022,Muddyfoot,V5-2x-GRN-0,1533589,H170-1802-59690,NA,NA,Roach,Control,54.1,18.5,15.3,,
20/9/2022,Muddyfoot,V5-2x-GRN-0,1533590,H170-1802-59692,NA,NA,Perch,Control,90.8,20.4,18.4,,
20/9/2022,Muddyfoot,V5-2x-GRN-0,1533591,H170-1802-59693,NA,NA,Perch,Control,101.5,21,19,,
20/9/2022,Muddyfoot,V5-2x-GRN-0,1533592,H170-1802-59694,NA,NA,Perch,Control,85.3,20.1,18.5,,
20/9/2022,Muddyfoot,V5-2x-GRN-0,1533593,H170-1802-59695,NA,NA,Roach,Control,54.5,18.5,16.5,,
20/9/2022,Muddyfoot,V5-2x-GRN-0,1533594,H170-1802-59696,NA,NA,Roach,Control,98.5,22,19.5,,
20/9/2022,Muddyfoot,V5-2x-GRN-0,1533595,H170-1802-59697,NA,NA,Perch,Control,133.6,21.5,20.8,,
20/9/2022,Muddyfoot,V5-2x-GRN-0,1533596,H170-1802-59698,NA,NA,Perch,Control,92.5,20.6,18.8,,
