Date,Lake,Serial Number,Tag Number,Species,Treatment,Weight,Total_length,Std_length,Sample_num,Samples_taken,Found,Known_predated,Notes
10/31/2022,Muddyfoot,1533581,H170-1802-59682,Perch,Control,NA,NA,NA,,NA,0,0,
10/31/2022,Muddyfoot,1533582,H170-1802-59683,Roach,Control,NA,NA,NA,,NA,0,0,
10/31/2022,Muddyfoot,1533583,H170-1802-59684,Roach,Control,72.5,19.5,16.3,15,"m,b,g",1,0,
10/31/2022,Muddyfoot,1533584,H170-1802-59685,Perch,Control,61.4,18,16.3,44,"m,b,g",1,0,
10/31/2022,Muddyfoot,1533585,H170-1802-59686,Perch,Control,NA,NA,NA,,,0,0,
10/31/2022,Muddyfoot,1533586,H170-1802-59687,Roach,Control,NA,NA,NA,,,0,0,
10/31/2022,Muddyfoot,1533587,H170-1802-59688,Perch,Control,98,21,19.2,23,"m,b,g",1,0,
10/31/2022,Muddyfoot,1533588,H170-1802-59689,Perch,Control,102,20.7,18.7,,NA,0,0,"Found dead, no sample taken"
10/31/2022,Muddyfoot,1533589,H170-1802-59690,Roach,Control,54.1,18.1,15,27,"m,b,g",1,0,
10/31/2022,Muddyfoot,1533590,H170-1802-59692,Perch,Control,NA,NA,NA,,NA,0,1,Eaten by a pike
10/31/2022,Muddyfoot,1533591,H170-1802-59693,Perch,Control,99.4,21.3,19,"1m, 1b, 8g","m,b,g",1,0,Found dead
10/31/2022,Muddyfoot,1533592,H170-1802-59694,Perch,Control,82.7,20,18.3,43,"m,b,g",1,0,
10/31/2022,Muddyfoot,1533593,H170-1802-59695,Roach,Control,56.8,18.9,15.5,36,"m,b,g",1,0,
10/31/2022,Muddyfoot,1533594,H170-1802-59696,Roach,Control,98.9,21.8,17.9,34,"m,b,g",1,0,
10/31/2022,Muddyfoot,1533595,H170-1802-59697,Perch,Control,131.8,22.4,20.3,20,"m,b,g",1,0,
10/31/2022,Muddyfoot,1533596,H170-1802-59698,Perch,Control,NA,NA,NA,,NA,0,0,
10/31/2022,Muddyfoot,1533597,H170-1802-59699,Perch,Control,186.1,25,23.4,24,"m,b,g",1,0,
10/31/2022,Muddyfoot,1533598,H170-1802-59700,Roach,Control,44.1,17.4,14.7,16,"m,b,g",1,0,
10/31/2022,Muddyfoot,1533599,H170-1802-59701,Roach,Control,NA,NA,NA,,NA,0,0,
10/31/2022,Muddyfoot,1533600,H170-1802-59702,Perch,Control,75.4,19.1,16.8,30,"m,b,g",1,0,
10/31/2022,Muddyfoot,1533601,H170-1802-59704,Roach,Control,50.9,17.5,14.3,13,"m,b,g",1,0,
10/31/2022,Muddyfoot,1533602,H170-1802-59705,Roach,Control,58.2,17.5,14.8,37,"m,b,g",1,0,
10/31/2022,Muddyfoot,1533603,H170-1802-59706,Roach,Control,100.9,22.3,18,17,"m,b,g",1,0,
10/31/2022,Muddyfoot,1533604,H170-1802-59707,Roach,Control,NA,NA,NA,,NA,0,0,
10/31/2022,Muddyfoot,1533605,H170-1802-59708,Perch,Control,116.1,21.8,19.6,28,"m,b,g",1,0,
