ID,Latitude,Longitude,X
461366,"63°46'19.17202""N","20°03'47.71283""E",63.309
Habitat1,"63°46'19.10913""N","20°03'47.80226""E",64.282
Habitat2,"63°46'19.43770""N","20°03'48.20651""E",63.994
461364,"63°46'19.72412""N","20°03'48.11510""E",62.979
Habitat3,"63°46'19.75588""N","20°03'49.05575""E",63.688
461368,"63°46'20.07348""N","20°03'49.56484""E",63.137
Habitat4,"63°46'19.88458""N","20°03'49.92996""E",63.528
461858,"63°46'19.91354""N","20°03'50.89965""E",63.251
461860,"63°46'19.38451""N","20°03'49.03949""E",63.221
ref,"63°46'19.17169""N","20°03'48.52317""E",64.422
ref2,"63°46'19.16400""N","20°3'48.56400""E",
