FISH,LAB_ID,TREATMENT,SAMPLE_DATE,SPECIES,TISSUE,SAMPLE_WEIGHT,VENLA_ng_g,DESVENLA_ng_g,FLX_ng_g,SERTRA_ng_g,NOSERTRA_ng_g
1,1,Exposed,26/9/2022,Perch,M,0.109,1,<LOQ,1.1,2.1,1.4
1,2,Exposed,26/9/2022,Perch,L,0.082,57.2,<LOQ,44.8,43.7,29.2
1,3,Exposed,26/9/2022,Perch,B,0.135,9.2,0.2,13.1,33.2,22.8
2,4,Exposed,26/9/2022,Perch,M,0.099,1.5,<LOQ,1.9,2.9,1.8
2,5,Exposed,26/9/2022,Perch,L,0.07,21.9,<LOQ,29.5,33.6,22.6
3,7,Exposed,26/9/2022,Perch,M,0.136,1.4,<LOQ,0.9,1.5,1
3,8,Exposed,26/9/2022,Perch,L,0.11,17.3,<LOQ,26.1,21.9,16.5
3,9,Exposed,26/9/2022,Perch,B,0.11,3.2,<LOQ,9.5,20.6,15.1
4,10,Exposed,26/9/2022,Perch,M,0.145,1.4,<LOQ,1.1,2.2,1.4
4,11,Exposed,26/9/2022,Perch,L,0.094,15,<LOQ,37.5,44.8,31.6
4,12,Exposed,26/9/2022,Perch,B,0.15,5.6,<LOQ,16.6,42.5,28
5,13,Exposed,26/9/2022,Perch,M,0.12,1.7,<LOQ,1.4,2.8,2
5,14,Exposed,26/9/2022,Perch,L,0.1,47.6,<LOQ,100,85.1,55.5
5,15,Exposed,26/9/2022,Perch,B,0.109,8.7,<LOQ,16.8,43.4,35.1
6,16,Exposed,17/10/2022,Perch,M,0.09,2.1,<LOQ,0.6,0.5,0.6
6,17,Exposed,17/10/2022,Perch,L,0.126,10.4,0.4,8.8,6,5.5
6,18,Exposed,17/10/2022,Perch,B,0.117,19.8,<LOQ,5.3,5.6,7.4
7,19,Exposed,17/10/2022,Perch,M,0.094,2.2,<LOQ,2.2,1.5,1.2
7,20,Exposed,17/10/2022,Perch,L,0.108,28,0.3,40.2,14.6,13.3
7,21,Exposed,17/10/2022,Perch,B,0.073,13.3,0.2,14,11.5,13.6
8,22,Exposed,17/10/2022,Perch,M,0.127,1.8,<LOQ,0.7,0.8,0.8
8,23,Exposed,17/10/2022,Perch,L,0.092,14.9,0.2,12.2,6.7,6.6
8,24,Exposed,17/10/2022,Perch,B,0.074,5.3,<LOQ,6.2,7.8,9.4
9,25,Exposed,17/10/2022,Perch,M,0.106,2,<LOQ,1.9,1,1.2
9,26,Exposed,17/10/2022,Perch,L,0.09,64.8,0.4,57.1,27.5,22.5
9,27,Exposed,17/10/2022,Perch,B,0.125,12.3,0.2,20.8,14.6,18.6
10,28,Exposed,17/10/2022,Perch,M,0.11,1.9,<LOQ,1.7,1,1
10,29,Exposed,17/10/2022,Perch,L,0.092,38.4,<LOQ,35.1,13.3,12.4
10,30,Exposed,17/10/2022,Perch,B,0.1,7,0.2,17.8,12.7,15.6
11,31,Exposed,10/10/2022,Roach,M,0.094,1.6,<LOQ,1.7,0.8,0.6
11,32,Exposed,10/10/2022,Roach,B,0.044,8.5,<LOQ,10.4,7.7,6.5
12,33,Exposed,10/10/2022,Roach,M,0.128,0.8,<LOQ,1.7,1,0.7
13,34,Exposed,10/10/2022,Roach,M,0.129,1.4,<LOQ,1.8,0.9,1
13,35,Exposed,10/10/2022,Roach,B,0.097,4.4,<LOQ,12.7,9.8,10.1
14,36,Exposed,10/10/2022,Roach,M,0.103,1.3,<LOQ,1.6,0.9,0.8
14,37,Exposed,10/10/2022,Roach,B,0.128,10,<LOQ,11.2,8.8,8.4
15,38,Exposed,10/10/2022,Roach,M,0.118,1.5,<LOQ,2.7,0.5,0.6
15,39,Exposed,10/10/2022,Roach,B,0.096,4.3,<LOQ,17.6,5,7.2
16,40,Exposed,24/9/2022,Roach,M,0.093,1.5,<LOQ,1.4,2.5,1.4
16,41,Exposed,24/9/2022,Roach,B,0.08,5.3,<LOQ,8.9,26.1,15.1
17,42,Exposed,24/9/2022,Roach,M,0.122,1.3,<LOQ,1.9,2.9,1.6
17,43,Exposed,24/9/2022,Roach,B,0.108,3.8,<LOQ,13.2,32.7,19.6
18,44,Exposed,24/9/2022,Roach,M,0.125,1.5,<LOQ,1,1.8,1.1
18,45,Exposed,24/9/2022,Roach,B,0.127,6.6,<LOQ,6.1,17.5,10
19,46,Exposed,24/9/2022,Roach,M,0.117,1,<LOQ,1.3,2.6,1.4
19,47,Exposed,24/9/2022,Roach,B,0.108,4.4,<LOQ,7.8,27,14.7
20,48,Exposed,24/9/2022,Roach,M,0.121,2.3,0.1,1.9,3,1.8
20,49,Exposed,24/9/2022,Roach,B,0.117,4.8,<LOQ,7.1,17.9,10.8
21,50,Exposed,3/10/2022,Roach,M,0.119,1.5,<LOQ,1.5,0.8,0.7
21,51,Exposed,3/10/2022,Roach,B,0.111,2.1,<LOQ,10.4,7.8,8
22,52,Exposed,3/10/2022,Roach,M,0.1,0.6,<LOQ,1.5,0.5,0.7
22,53,Exposed,3/10/2022,Roach,B,0.101,3.7,<LOQ,13.9,6.6,9.6
23,54,Exposed,3/10/2022,Roach,M,0.12,0.2,<LOQ,0.9,<LOQ,0.2
23,55,Exposed,3/10/2022,Roach,B,0.127,0.8,<LOQ,7.4,0.4,2.1
24,56,Exposed,3/10/2022,Roach,M,0.103,0.9,<LOQ,3.5,0.9,1.2
24,57,Exposed,3/10/2022,Roach,B,0.101,4.2,<LOQ,27.6,9.8,13.3
25,58,Exposed,3/10/2022,Roach,M,0.1,0.8,<LOQ,3,2.1,3.1
25,59,Exposed,3/10/2022,Roach,B,0.095,1.3,<LOQ,12.4,11.5,14
26,60,Exposed,10/10/2022,Perch,M,0.116,1.2,<LOQ,1.7,1.1,1.1
26,61,Exposed,10/10/2022,Perch,L,0.118,36.5,<LOQ,57.7,15,10.3
26,62,Exposed,10/10/2022,Perch,B,0.176,7.8,0.1,23.9,21.5,21.6
27,63,Exposed,10/10/2022,Perch,M,0.12,2.9,<LOQ,2.9,1.8,1.7
27,64,Exposed,10/10/2022,Perch,L,0.09,31.5,0.3,60.2,25.9,24.6
27,65,Exposed,10/10/2022,Perch,B,0.11,12.1,<LOQ,31.2,25.5,27.2
28,66,Exposed,10/10/2022,Perch,M,0.108,2.7,<LOQ,1.3,1.1,1.1
28,67,Exposed,10/10/2022,Perch,L,0.116,26.9,0.4,30.4,12,9.4
