DATE,SPECIES,TREATMENT,LENGTH,WEIGHT
23/9/2022,Perch,Mix,17.3,59.7
23/9/2022,Perch,Mix,17.2,55.7
23/9/2022,Perch,Mix,15.8,43.6
23/9/2022,Perch,Mix,15.6,38
23/9/2022,Perch,Mix,14.4,33
23/9/2022,Perch,Mix,15.3,38.1
23/9/2022,Perch,Mix,16.7,48.9
23/9/2022,Perch,Mix,14.5,32
23/9/2022,Perch,Mix,15.4,45
23/9/2022,Perch,Mix,15.8,48.9
23/9/2022,Perch,Mix,15.3,45.2
23/9/2022,Perch,Mix,18.5,66
23/9/2022,Perch,Mix,16,40
23/9/2022,Perch,Mix,15.4,41
23/9/2022,Perch,Mix,17.3,60
23/9/2022,Perch,Mix,16,40.3
23/9/2022,Perch,Mix,18.8,78
23/9/2022,Perch,Mix,17.1,53.6
23/9/2022,Perch,Mix,16.6,51
23/9/2022,Perch,Mix,18.8,79
23/9/2022,Perch,Mix,15.2,40.5
23/9/2022,Perch,Mix,16.5,52.4
23/9/2022,Perch,Mix,16.2,45.1
23/9/2022,Perch,Mix,16.7,53.6
23/9/2022,Perch,Mix,16.5,49.2
23/9/2022,Perch,Mix,17,53.8
23/9/2022,Perch,Mix,16.7,54
23/9/2022,Perch,Mix,16.7,50
23/9/2022,Perch,Mix,15.6,42.5
23/9/2022,Perch,Mix,16.6,52
23/9/2022,Perch,Mix,16.8,46.6
23/9/2022,Perch,Mix,15.5,39
23/9/2022,Perch,Mix,16.5,47
23/9/2022,Perch,Mix,15.9,46
23/9/2022,Perch,Mix,14.7,38.3
23/9/2022,Perch,Mix,15.2,44.3
23/9/2022,Perch,Mix,14.2,30.1
23/9/2022,Perch,Mix,17.4,54
23/9/2022,Perch,Mix,15.7,43
23/9/2022,Perch,Mix,17.2,56
23/9/2022,Roach,Mix,12.4,15.9
23/9/2022,Roach,Mix,14.1,25
23/9/2022,Roach,Mix,13.6,24
23/9/2022,Roach,Mix,12.2,18
23/9/2022,Roach,Mix,13.7,28
23/9/2022,Roach,Mix,13,19.6
23/9/2022,Roach,Mix,13,20
23/9/2022,Roach,Mix,11.5,14
23/9/2022,Roach,Mix,14.1,24
23/9/2022,Roach,Mix,13.5,21.1
23/9/2022,Roach,Mix,12.5,16
23/9/2022,Roach,Mix,15.5,34.3
23/9/2022,Roach,Mix,14.1,26
23/9/2022,Roach,Mix,13.5,21
23/9/2022,Roach,Mix,12.5,17.3
23/9/2022,Roach,Mix,13.8,23
23/9/2022,Roach,Mix,13.2,22
23/9/2022,Roach,Mix,13.8,23.8
23/9/2022,Roach,Mix,14.1,30
23/9/2022,Roach,Mix,13.2,16
23/9/2022,Roach,Mix,11.7,14
23/9/2022,Roach,Mix,13.8,20.5
23/9/2022,Roach,Mix,11.8,15.2
23/9/2022,Roach,Mix,13.5,22.4
23/9/2022,Roach,Mix,13.7,23.5
23/9/2022,Roach,Mix,13.5,20.5
23/9/2022,Roach,Mix,14.6,27.3
23/9/2022,Roach,Mix,14,22.7
23/9/2022,Roach,Mix,13,21.5
23/9/2022,Roach,Mix,13.4,19.7
23/9/2022,Roach,Mix,14.2,26.6
23/9/2022,Roach,Mix,13.4,24.5
23/9/2022,Roach,Mix,15,29.1
23/9/2022,Roach,Mix,14.1,25.4
23/9/2022,Roach,Mix,14.2,27.8
23/9/2022,Roach,Mix,13,18.2
23/9/2022,Roach,Mix,14.1,24.8
23/9/2022,Roach,Mix,13.9,24.7
23/9/2022,Roach,Mix,12.7,17
23/9/2022,Roach,Mix,15.6,37.8
23/9/2022,Roach,Mix,13.5,19
23/9/2022,Pike,Mix,NA,970
23/9/2022,Pike,Mix,NA,585
23/9/2022,Pike,Mix,NA,750
23/9/2022,Pike,Mix,NA,815
