id,species,treatment,est,se,low,high,p
F59817,Roach,Control,-0.5309905378501689,0.11924577505860613,-0.7647079622736015,-0.2972731134267363,8.471482021611694e-6
F59818,Roach,Control,-1.0638425524296473,0.09098099793762389,-1.2421620316649031,-0.8855230731943916,1.383783228960362e-31
F59820,Roach,Control,-0.8089754500851268,0.11128721640530886,-1.0270943861792472,-0.5908565139910065,3.614683653730478e-13
F59821,Roach,Control,-0.2967427136029731,0.09456997437768935,-0.4820964574021199,-0.11138896980382632,0.001702145460701588
F59822,Roach,Control,-0.2143925061041397,0.11628790439767323,-0.4423126105612162,0.013527598352936737,0.06523628210282034
F59823,Roach,Control,-0.7499216252555786,0.11763841111063919,-0.9804886742309479,-0.5193545762802093,1.8319900231073324e-10
F59825,Roach,Control,-0.0896229337823423,0.11852908196725684,-0.32193566555876163,0.14268979799407705,0.44957358823793736
F59826,Roach,Control,-0.4008961966045012,0.13193407324187695,-0.6594822284922497,-0.14231016471675279,0.002376723044938601
F59827,Roach,Control,-1.5588743701695476,0.08980513127714612,-1.7348891930996455,-1.3828595472394496,1.7037410046769842e-67
F59828,Roach,Exposed,-1.1077775257160707,0.14062595917465998,-1.3833993409898042,-0.8321557104423372,3.3406208457061927e-15
F59829,Roach,Exposed,-1.335601722817963,0.10363216581490532,-1.5387170354550603,-1.1324864101808658,5.26534084127001e-38
F59830,Roach,Exposed,-1.059189536005729,0.09383770142103806,-1.2431080511829866,-0.8752710208284715,1.5134296619273206e-29
F59831,Roach,Exposed,0.14997913014371056,0.11159863690588444,-0.06875017891558538,0.3687084392030065,0.17897573571094708
F59832,Roach,Exposed,-0.6140118019192029,0.09973028700872225,-0.8094795726241413,-0.41854403121426453,7.426534094306036e-10
F59833,Roach,Exposed,-1.3805123458844528,0.1023357897594148,-1.5810868081423686,-1.179937883626537,1.790402203702729e-41
F59834,Roach,Exposed,0.470371049789889,0.094192807806479,0.2857565388864869,0.6549855606932911,5.923199850368557e-7
F59835,Roach,Exposed,-0.5459948230900703,0.08911319752750106,-0.7206534807911762,-0.37133616538896447,8.956244652314892e-10
F59836,Roach,Exposed,-0.16846301693663157,0.10390019925242194,-0.37210366545791396,0.03517763158465084,0.10493346115909236
F59837,Roach,Exposed,-0.9591354800850995,0.09096685894583324,-1.137427247405668,-0.7808437127645311,5.4266734936425794e-26
