id,species,treatment,est,se,low,high,p
F59682,Perch,Control,-2.297918089861196,0.3907475521879688,-3.0637692191968,-1.532066960525592,4.082258643883956e-9
F59685,Perch,Control,2.328948097534886,0.16957881465620314,1.9965797282677349,2.6613164668020373,6.3772462152544556e-43
F59686,Perch,Control,0.8287048183188149,0.2226919719439137,0.39223657366254,1.26517306297509,1.9819563668998832e-4
F59688,Perch,Control,0.8795916097970536,0.115898455187762,0.6524348117652108,1.1067484078288965,3.2156413227348187e-14
F59689,Perch,Control,-2.6485842590330253,0.23436959140034255,-3.107940217249065,-2.1892283008169855,1.298993238474876e-29
F59692,Perch,Control,1.0763990525745337,0.15358907460185295,0.7753699979360664,1.377428107213001,2.412228178710768e-12
F59693,Perch,Control,1.8616150332588237,0.12183142829273257,1.6228298216199937,2.1004002448976538,1.0353816395052413e-52
F59694,Perch,Control,-0.1997238431363831,0.20154792014296344,-0.5947505077755463,0.19530282150278003,0.3217101612648143
F59697,Perch,Control,3.1593763728307835,0.08375235086185165,2.9952247815209923,3.323527964140575,2.0979231087783e-311
F59698,Perch,Control,-0.21770699422829426,0.22757911819348386,-0.6637538695209066,0.22833988106431818,0.3387585174914707
F59699,Perch,Control,-0.14641557872932554,0.1763192158073202,-0.4919948914940185,0.1991637340353674,0.40631233889455437
F59702,Perch,Control,2.223145396103003,0.11658323632002383,1.9946464517146345,2.4516443404913715,4.55488520946709e-81
F59708,Perch,Control,1.445192459607513,0.10129614953126867,1.2466556547536425,1.6437292644613835,3.5135736961270276e-46
F59711,Perch,Control,0.4703986231953799,0.14352658421145353,0.18909168731687587,0.7517055590738839,0.0010475595115205833
F59712,Perch,Control,-0.9929367783700581,0.5250539837282572,-2.0220236764167216,0.03615011967660531,0.05860916898399065
F59714,Perch,Exposed,1.0477389904032235,0.11320670688819427,0.8258579220939803,1.2696200587124666,2.1403709191743116e-20
F59715,Perch,Exposed,1.4387825524823132,0.12220503814056582,1.1992650789974606,1.6783000259671659,5.345161300521484e-32
F59717,Perch,Exposed,-0.38154273508693787,0.11316121249315038,-0.6033346360203966,-0.15975083415347915,7.471278632480097e-4
F59720,Perch,Exposed,-0.4376485395275156,0.32624021462907743,-1.0770676105091246,0.2017705314540933,0.17976086332894697
F59722,Perch,Exposed,0.30909148680609466,0.12923826586459325,0.05578914028707971,0.5623938333251096,0.016773257054584004
F59724,Perch,Exposed,0.09395950958593396,0.15136655229074733,-0.20271348136792955,0.3906325005397975,0.5347696808172561
F59726,Perch,Exposed,0.8224241051125052,0.19588509392518363,0.4384963759108996,1.2063518343141109,2.686855937073792e-5
F59727,Perch,Exposed,2.0353733947418,0.11011314614123256,1.8195555940805885,2.2511911954030115,2.758440057024518e-76
F59728,Perch,Exposed,1.2086904457167538,0.11811986938184743,0.9771797558697574,1.44020113556375,1.4145275139726975e-24
F59730,Perch,Exposed,0.8662166384511815,0.12507715587500048,0.6210699176474781,1.1113633592548848,4.345660585486236e-12
F59733,Perch,Exposed,1.7709349410672066,0.13335114649508914,1.5095714966397074,2.032298385494706,3.0143522870288727e-40
F59734,Perch,Exposed,-0.8083270395230538,0.16821034764629564,-1.138013262736755,-0.4786408163093526,1.5440095810401e-6
F59735,Perch,Exposed,-0.8149477999013321,0.29579409553736397,-1.3946935739941653,-0.23520202580849903,0.005867087261812854
F59736,Perch,Exposed,0.442452354119429,0.18696189818433037,0.07601376719689706,0.8088909410419609,0.017955352306082587
F59737,Perch,Exposed,2.737760687364194,0.12046959500424424,2.501644619923749,2.9738767548046394,2.4939206845908737e-114
