"species","individual","n_points","timespan_days","has_asymptote","range_estimate_m","tau_position","tau_velocity","irregularities_detected"
"Perch","F59682",17150,10.5,FALSE,NA,NA,NA,"Large gaps: 1952"
"Perch","F59685",23808,35.7,TRUE,116,NA,NA,"Large gaps: 3328"
"Perch","F59686",20025,13.1,FALSE,NA,NA,NA,"Large gaps: 2222"
"Perch","F59688",70332,35.7,TRUE,64,NA,NA,"Large gaps: 6378"
"Perch","F59689",41066,19.4,FALSE,NA,NA,NA,"Large gaps: 2964"
"Perch","F59692",50039,35.6,FALSE,NA,NA,NA,"Large gaps: 4426"
"Perch","F59693",51201,34.6,FALSE,NA,NA,NA,"Large gaps: 5177"
"Perch","F59694",33314,35.7,TRUE,86,NA,NA,"Large gaps: 3573"
"Perch","F59697",102969,35.7,FALSE,NA,NA,NA,"Large gaps: 5912"
"Perch","F59698",27823,10.7,FALSE,NA,NA,NA,"Large gaps: 2190"
"Perch","F59699",46599,34.7,TRUE,179,NA,NA,"Large gaps: 3371"
"Perch","F59702",76970,35.7,FALSE,NA,NA,NA,"Large gaps: 4864"
"Perch","F59708",70966,35.7,TRUE,60,NA,NA,"Large gaps: 5860"
"Perch","F59711",68430,35.7,TRUE,46,NA,NA,"Large gaps: 7681"
"Perch","F59712",55945,33.7,TRUE,39,NA,NA,"Large gaps: 5655"
"Perch","F59714",95976,35.7,TRUE,72,NA,NA,"Large gaps: 6008"
"Perch","F59715",65923,35.7,TRUE,53,NA,NA,"Large gaps: 5829"
"Perch","F59717",75209,35.7,FALSE,NA,NA,NA,"Large gaps: 7692"
"Perch","F59720",20904,10.6,FALSE,NA,NA,NA,"Large gaps: 2210"
"Perch","F59722",65448,30.7,TRUE,106,NA,NA,"Large gaps: 4740"
"Perch","F59724",49822,35.7,TRUE,57,NA,NA,"Large gaps: 4831"
"Perch","F59726",31048,27.4,FALSE,NA,NA,NA,"Large gaps: 3332"
"Perch","F59727",65684,35.7,FALSE,NA,NA,NA,"Large gaps: 4817"
"Perch","F59728",50534,35.7,TRUE,58,NA,NA,"Large gaps: 6020"
"Perch","F59730",75453,35.7,TRUE,76,NA,NA,"Large gaps: 6817"
"Perch","F59733",57403,35.7,FALSE,NA,NA,NA,"Large gaps: 5201"
"Perch","F59734",43131,35.5,FALSE,NA,NA,NA,"Large gaps: 3996"
"Perch","F59735",13564,10.6,TRUE,88,NA,NA,"Large gaps: 1764"
"Perch","F59736",29357,35.5,FALSE,NA,NA,NA,"Large gaps: 3423"
"Perch","F59737",62186,35.7,TRUE,60,NA,NA,"Large gaps: 6116"
