"species","individual","n_points","timespan_days","has_asymptote","range_estimate_m","tau_position","tau_velocity","irregularities_detected"
"Roach","F59683",49534,10.5,TRUE,185,NA,NA,"Large gaps: 2111"
"Roach","F59684",117107,35.7,FALSE,NA,NA,NA,"Large gaps: 9551"
"Roach","F59687",11577,6.9,TRUE,244,NA,NA,"Large gaps: 755; Short duration (<7 days)"
"Roach","F59690",138155,35.7,FALSE,NA,NA,NA,"Large gaps: 7678"
"Roach","F59695",122810,35.7,TRUE,70,NA,NA,"Large gaps: 8412"
"Roach","F59696",113556,35.7,TRUE,70,NA,NA,"Large gaps: 6935"
"Roach","F59700",133270,35.7,FALSE,NA,NA,NA,"Large gaps: 8313"
"Roach","F59701",89636,35.6,TRUE,117,NA,NA,"Large gaps: 6773"
"Roach","F59704",140864,35.7,TRUE,90,NA,NA,"Large gaps: 6906"
"Roach","F59705",104230,35.7,TRUE,45,NA,NA,"Large gaps: 6926"
"Roach","F59706",120989,35.5,FALSE,NA,NA,NA,"Large gaps: 6846"
"Roach","F59709",28071,10.5,TRUE,157,NA,NA,"Large gaps: 2866"
"Roach","F59710",168716,35.7,TRUE,123,NA,NA,"Large gaps: 5711"
"Roach","F59713",121986,35.7,TRUE,143,NA,NA,"Large gaps: 7136"
"Roach","F59719",86479,35.6,FALSE,NA,NA,NA,"Large gaps: 7446"
"Roach","F59725",131926,35.5,FALSE,NA,NA,NA,"Large gaps: 7376"
"Roach","F59729",130809,35.2,FALSE,NA,NA,NA,"Large gaps: 3573"
"Roach","F59731",19793,9.4,FALSE,NA,NA,NA,"Large gaps: 1894"
"Roach","F59732",116983,35.7,TRUE,67,NA,NA,"Large gaps: 7097"
"Roach","F59738",121864,35.5,FALSE,NA,NA,NA,"Large gaps: 6118"
"Roach","F59740",115382,35.7,FALSE,NA,NA,NA,"Large gaps: 6957"
"Roach","F59741",165807,35.7,FALSE,NA,NA,NA,"Large gaps: 5856"
"Roach","F59742",147041,35.7,TRUE,98,NA,NA,"Large gaps: 7049"
"Roach","F59743",107523,35.7,FALSE,NA,NA,NA,"Large gaps: 7853"
"Roach","F59744",110825,35.7,FALSE,NA,NA,NA,"Large gaps: 8672"
"Roach","F59745",16097,12.9,TRUE,269,NA,NA,"Large gaps: 1267"
"Roach","F59746",105270,35.7,FALSE,NA,NA,NA,"Large gaps: 4429"
"Roach","F59748",96704,35.7,FALSE,NA,NA,NA,"Large gaps: 5407"
