"individual_ID","species","n_days","mean_daily_distance","sd_daily_distance","median_daily_distance","mean_speed","sd_speed","first_observation","last_observation","potential_mortality_date","movement_vs_gps_noise","gps_noise_threshold","mortality_threshold"
"F59750","Perch",17,1045.39959603272,421.672836683487,1033.41291273365,104.413427388464,NA,2022-09-26,2022-10-12,NA,NA,46.6617932810761,145.885503059183
"F59752","Perch",14,915.438725069718,580.699014490134,813.560363725338,130.829976611194,NA,2022-09-26,2022-10-09,NA,NA,38.7218438144784,187.402067206816
"F59755","Perch",34,843.845238531494,457.428955052786,843.942146756249,108.754450823822,NA,2022-09-26,2022-10-29,NA,NA,38.4079672245685,114.562413165856
"F59757","Perch",18,544.835383553322,696.930748012389,269.124495662079,77.9248087140656,NA,2022-09-26,2022-10-13,2022-10-09,0.332401105827032,30.4152583463922,142.365512678666
"F59764","Perch",13,1195.84089594965,413.855017251168,1210.36056005502,74.0365517328053,NA,2022-09-26,2022-10-08,NA,NA,60.7014652433721,165.845309437515
"F59774","Roach",34,2772.50331070217,1594.02346611396,3091.1604799261,165.568638855686,NA,2022-09-26,2022-10-29,2022-10-19,29.2881419232938,57.1746599728823,537.425576496834
"F59776","Roach",34,847.225152259253,634.810273652564,677.007271949876,72.3251402330047,NA,2022-09-26,2022-10-29,2022-10-17,6.6484432115526,47.9775679354425,172.300148480095
"F59777","Roach",34,3850.01741214673,899.290027721714,3696.8432557462,207.865836264622,NA,2022-09-26,2022-10-29,NA,NA,62.6451069429773,568.185524456819
"F59783","Roach",19,717.490322432516,665.224012843981,735.881046323574,45.7034292937016,NA,2022-09-26,2022-10-23,2022-10-08,0.0546056962707671,45.489349367968,189.353396207214
"F59790","Perch",34,495.939119713026,413.908019496322,356.063215312436,95.774223847431,NA,2022-09-26,2022-10-29,2022-10-20,6.63904322819208,34.9299807177327,100.163000470942
"F59792","Perch",30,742.756474106324,732.936414513501,400.637032667896,101.06857412372,NA,2022-09-26,2022-10-27,2022-10-18,0.655087524916993,33.2939869508495,173.15325369771
"F59801","Perch",34,434.531254828912,282.052553047794,374.519772018917,57.7508786451903,NA,2022-09-26,2022-10-29,2022-10-13,10.4211171311822,40.47265115991,67.0938406966386
"F59803","Roach",34,3397.72793825841,920.930723601859,3549.4982878149,165.127953289347,NA,2022-09-26,2022-10-29,NA,NA,66.8164366968761,466.148649134317
"F59807","Roach",34,3856.05544228373,726.743878996631,3823.87914148652,193.789607693143,NA,2022-09-26,2022-10-29,NA,NA,65.3391202350341,567.560437140726
"F59809","Roach",34,1333.9736113537,1104.62430973812,1057.01318770341,94.7369000808078,NA,2022-09-26,2022-10-29,2022-10-18,5.44731168062444,50.2784563449045,326.952825140003
"F59810","Roach",13,1065.50086880723,759.16912451353,1118.87903630335,53.1182918320991,NA,2022-09-26,2022-10-08,2022-10-05,1.85551862093293,57.6461558862474,241.569580111418
"F59812","Roach",34,4434.54303250832,974.348555891816,4532.52162174662,208.310749726064,NA,2022-09-26,2022-10-29,NA,NA,67.9154856047313,666.766743689648
"F59815","Roach",34,3508.41850763523,884.118248041514,3437.0118736368,170.983838549378,NA,2022-09-26,2022-10-29,NA,NA,66.3345539337398,570.199619346332
