"Prey_ID","Pred_ID","Species","total_encounters_high_conf","total_encounters_probable","total_encounters_possible","min_distance","mean_distance","n_days","n_days_high_conf","n_days_probable"
"F59828","F59898","Roach",5677,3113,4680,0.531622200241945,17.0167561085525,31,26,30
"F59825","F59896","Roach",1780,4644,8372,0.414306700477982,17.4094869299141,34,21,25
"F59830","F59898","Roach",1535,5402,8822,0.324496476424718,16.2343013382902,34,25,33
"F59832","F59898","Roach",1478,6825,10340,0.774268155366072,15.6357005209528,34,20,31
"F59832","F59896","Roach",1419,6973,7552,0.424478515893241,17.5754285292068,34,21,24
"F59836","F59895","Roach",1380,3712,4522,0.688520403635716,20.1332648534171,33,24,31
"F59823","F59898","Roach",1294,2271,3420,0.570645440747058,22.46550558635,34,19,28
"F59834","F59896","Roach",1274,5827,9283,0.386537343528229,17.2004551457814,34,21,24
"F59820","F59896","Roach",1213,4121,6385,0.365360006281531,18.2518045516968,34,20,24
"F59829","F59896","Roach",1208,3172,8878,0.377253912275344,18.1349416324306,34,20,24
"F59826","F59896","Roach",1181,3009,6503,0.598572062093234,18.2904858260397,33,23,23
"F59822","F59896","Roach",1094,4375,6954,0.436571914707262,17.9326728353696,34,22,24
"F59822","F59895","Roach",1025,3406,4423,0.619134192711266,20.8980485163099,33,17,30
"F59833","F59896","Roach",1012,5333,9428,0.50708456835254,17.3387633947152,34,17,25
"F59825","F59898","Roach",983,4094,6920,0.510942662175626,18.5758797315273,34,25,30
"F59827","F59894","Roach",941,3101,3627,0.334542991036807,19.1646337833051,34,15,24
"F59817","F59896","Roach",936,3868,9142,0.506210940273813,18.0346046824173,34,23,24
"F59833","F59897","Roach",932,2451,5784,0.6662244442613,19.4546572406911,34,23,30
"F59818","F59896","Roach",918,4142,8013,0.247427961151766,18.4827986990953,34,21,24
"F59832","F59895","Roach",903,3779,7755,0.541846160802271,19.7561136947311,33,18,28
"F59831","F59896","Roach",861,4143,9178,0.446269671929787,18.2612533216942,34,22,24
"F59823","F59896","Roach",855,3569,8274,0.455103417327307,18.3529891422801,33,22,24
"F59821","F59897","Roach",841,3277,5338,0.641264125303204,21.4823764271761,34,23,30
"F59821","F59896","Roach",823,4340,12875,0.513070232068504,17.042247876658,34,21,24
"F59827","F59898","Roach",799,3007,5229,0.858141459133388,21.2285381611137,34,25,33
"F59834","F59894","Roach",780,2807,5729,0.632610610820928,18.0656115604956,34,18,25
"F59832","F59897","Roach",770,2146,6912,0.628505323862353,18.4369744618033,34,17,26
"F59820","F59898","Roach",767,3583,7095,0.686365092948796,19.0442633668473,34,29,33
"F59834","F59897","Roach",758,3440,7387,0.508708779020605,20.7366000056569,34,25,26
"F59835","F59897","Roach",743,3513,7187,0.68534431921497,17.4750704103316,34,24,30
"F59835","F59896","Roach",720,3170,6823,0.537110870567226,17.1551954483726,34,22,23
"F59837","F59896","Roach",702,2799,5627,0.596314836103021,20.5377541312438,34,22,24
"F59833","F59895","Roach",698,3468,6279,0.535544573362213,19.0259641295452,33,22,31
"F59827","F59896","Roach",689,3884,6796,0.401164213959808,18.7995931875536,34,21,25
"F59830","F59896","Roach",674,4851,7982,0.482090015029192,17.1285808727614,34,19,23
"F59832","F59894","Roach",663,2326,3884,0.704186288884886,20.2199998361917,34,15,23
"F59828","F59896","Roach",642,2104,4403,0.63811996573927,21.5996537125429,31,19,21
"F59826","F59897","Roach",610,1764,3629,0.543782407952539,21.7800391886267,34,15,25
"F59817","F59895","Roach",602,3791,5766,0.595960794467506,21.2106026761478,33,23,29
"F59828","F59894","Roach",589,2797,3641,0.422900542152067,20.4880576777737,31,13,18
"F59818","F59898","Roach",585,4492,6167,0.578209784905334,24.5916314099924,34,23,33
"F59822","F59898","Roach",583,5423,9223,0.591065751203061,16.3174034508608,34,26,33
"F59836","F59896","Roach",579,3236,5782,0.591020292153028,18.1886798575824,34,21,24
"F59835","F59894","Roach",576,2854,6488,0.402294250279592,16.8410758221469,34,16,27
"F59817","F59898","Roach",575,3545,6070,0.816034016321622,21.376705419252,34,21,32
"F59829","F59898","Roach",569,3439,7462,0.520284213361498,18.6219259298396,34,23,33
"F59837","F59897","Roach",556,1967,4896,0.861304668676959,23.6299617294633,34,26,31
"F59826","F59894","Roach",552,2090,3615,0.471348458437066,19.1805958037923,34,13,23
"F59820","F59894","Roach",547,1864,4172,0.797616374847118,19.5942796124907,34,11,24
"F59827","F59895","Roach",537,2597,6491,0.818469667191756,20.9789307123723,33,20,32
"F59818","F59894","Roach",520,2023,4632,0.58474483752606,20.9719890923384,34,16,27
"F59835","F59898","Roach",513,2312,7199,0.676333001988119,20.3345110116345,34,23,31
"F59826","F59898","Roach",506,1767,4257,0.362212640311169,23.3505895214019,34,19,28
"F59829","F59894","Roach",500,2395,4202,0.89287416400405,19.1414325934594,34,13,22
"F59831","F59898","Roach",500,2431,5736,0.719947244206637,20.650086995107,34,25,32
"F59833","F59894","Roach",485,2111,4584,0.369665941470942,18.6738172520316,34,15,26
"F59827","F59897","Roach",480,2231,5414,0.541181520502743,20.0304081569027,34,24,31
