"Prey_ID","Pike_ID","Date","Species","encounter_count_high_conf","encounter_count_probable","encounter_count_possible","daily_avg_dist","daily_min_dist"
"F59817","F59894",2022-09-27,"Roach",69,302,574,15.2418127577068,1.51332277552853
"F59817","F59894",2022-09-28,"Roach",88,183,358,16.8109732624563,0.783781053835689
"F59817","F59894",2022-09-29,"Roach",1,16,21,25.4759879465707,2.93480866241377
"F59817","F59894",2022-09-30,"Roach",26,130,276,23.5297676743967,1.0311218623836
"F59817","F59894",2022-10-01,"Roach",16,91,192,23.2101204317435,1.7245805103334
"F59817","F59894",2022-10-02,"Roach",59,103,161,18.373579210647,1.30526938252707
"F59817","F59894",2022-10-03,"Roach",12,29,70,18.7114694275545,1.02544600573354
"F59817","F59894",2022-10-04,"Roach",12,29,46,24.6008099335825,0.801738816219897
"F59817","F59894",2022-10-05,"Roach",0,5,70,18.8450136688518,5.43609471048523
"F59817","F59894",2022-10-06,"Roach",10,43,164,26.1349417254284,1.16119138268899
"F59817","F59894",2022-10-07,"Roach",0,25,209,21.0063740400197,3.80754733285018
"F59817","F59894",2022-10-08,"Roach",0,0,33,17.3797577519075,8.41410230665713
"F59817","F59894",2022-10-09,"Roach",1,3,14,19.0142171440213,2.6133327011699
"F59817","F59894",2022-10-10,"Roach",14,77,281,15.3239098708489,1.19537945762825
"F59817","F59894",2022-10-11,"Roach",5,76,358,18.5962359486155,1.21810640752856
"F59817","F59894",2022-10-12,"Roach",0,0,2,23.3566121915953,7.33241093635187
"F59817","F59894",2022-10-13,"Roach",13,106,351,16.9203908899588,1.66206399198763
"F59817","F59894",2022-10-14,"Roach",2,69,192,15.7097996501902,2.67853571495723
"F59817","F59894",2022-10-15,"Roach",1,117,357,16.1913988975656,2.28785801739345
"F59817","F59894",2022-10-16,"Roach",0,3,49,17.929268384867,5.27772403241485
"F59817","F59894",2022-10-17,"Roach",0,0,35,15.4609722313123,6.85015186010555
"F59817","F59894",2022-10-18,"Roach",0,0,0,21.4769749642818,10.7482354729408
"F59817","F59894",2022-10-19,"Roach",0,0,0,19.1723658667066,11.2528091604099
"F59817","F59894",2022-10-20,"Roach",0,0,21,16.3818159259429,7.45272254228173
"F59817","F59894",2022-10-21,"Roach",0,5,3,18.0897385913054,3.13857428110496
"F59817","F59894",2022-10-22,"Roach",0,0,5,23.9155311038765,7.75731992886973
"F59817","F59894",2022-10-23,"Roach",0,0,0,19.7514181071744,13.7987121124674
"F59817","F59894",2022-10-24,"Roach",0,0,7,14.4226778099197,8.09950391881175
"F59817","F59894",2022-10-25,"Roach",0,0,0,16.3866558662177,9.45187584409437
"F59817","F59894",2022-10-26,"Roach",0,0,0,16.959442320312,10.4092911641397
"F59817","F59894",2022-10-27,"Roach",0,0,0,19.1457131950278,12.2435914031617
"F59817","F59894",2022-10-28,"Roach",0,1,10,16.6688756792975,5.37650268232697
"F59817","F59894",2022-10-29,"Roach",0,1,4,19.7591923129688,5.99793917986918
"F59817","F59894",2022-10-30,"Roach",3,3,58,15.5391880865294,2.92738098767533
"F59817","F59895",2022-09-27,"Roach",53,457,586,13.1536684205947,1.18040811771034
"F59817","F59895",2022-09-28,"Roach",3,2,7,26.4914037384209,2.13801633301436
"F59817","F59895",2022-09-29,"Roach",21,81,289,29.0959884358894,1.65478821689124
"F59817","F59895",2022-09-30,"Roach",6,177,398,22.8544863739676,1.51415067499453
"F59817","F59895",2022-10-01,"Roach",65,161,168,19.1066306186519,0.974113865751625
"F59817","F59895",2022-10-02,"Roach",16,154,322,16.6566312081526,1.77965825942486
"F59817","F59895",2022-10-03,"Roach",6,125,807,15.4395835686204,1.96864423378352
"F59817","F59895",2022-10-04,"Roach",269,649,390,16.4520737183816,1.26270163131528
"F59817","F59895",2022-10-05,"Roach",48,844,311,16.5181242630666,0.879844235774264
"F59817","F59895",2022-10-06,"Roach",11,119,195,28.439317543914,2.2200865877584
"F59817","F59895",2022-10-07,"Roach",20,298,469,23.3371846688921,1.78251679709481
"F59817","F59895",2022-10-08,"Roach",34,172,316,22.7623858315836,0.595960794467506
"F59817","F59895",2022-10-09,"Roach",1,29,146,26.0082397083981,2.95945352810675
"F59817","F59895",2022-10-10,"Roach",0,17,38,23.81078280596,3.2759125120754
"F59817","F59895",2022-10-11,"Roach",0,25,141,28.1516579252971,3.91505768983396
"F59817","F59895",2022-10-12,"Roach",7,102,175,22.5612497696323,1.3430442024434
"F59817","F59895",2022-10-13,"Roach",0,7,233,21.1147089867758,4.75790014650312
"F59817","F59895",2022-10-14,"Roach",2,8,45,22.75826307888,2.13460499473945
"F59817","F59895",2022-10-15,"Roach",10,88,169,17.8459080507389,1.99459151176931
"F59817","F59895",2022-10-16,"Roach",5,22,27,20.2712299655186,1.50408205003791
"F59817","F59895",2022-10-17,"Roach",6,87,61,17.1472278320315,1.08790253276146
"F59817","F59895",2022-10-18,"Roach",0,0,0,22.5087924327796,9.50138735047569
"F59817","F59895",2022-10-19,"Roach",0,57,143,20.2856088694419,4.00458734865324
"F59817","F59895",2022-10-20,"Roach",0,0,7,18.5891164694929,7.40354662574375
"F59817","F59895",2022-10-21,"Roach",0,0,1,27.2708088802423,7.84899809791126
"F59817","F59895",2022-10-22,"Roach",0,3,12,25.6906223981237,3.38204183457553
"F59817","F59895",2022-10-23,"Roach",5,20,81,16.4101128899529,2.43141859169216
"F59817","F59895",2022-10-24,"Roach",5,12,6,23.560169994642,2.05375311755718
"F59817","F59895",2022-10-25,"Roach",0,0,0,24.2579374570062,14.1734883943079
"F59817","F59895",2022-10-26,"Roach",2,5,21,21.9214473292056,2.08339194772335
"F59817","F59895",2022-10-27,"Roach",1,15,99,12.3544402948845,2.65229933337685
"F59817","F59895",2022-10-28,"Roach",0,44,67,16.773829939218,3.14418528912757
"F59817","F59895",2022-10-29,"Roach",6,11,36,18.9974133385434,1.42758097596564
"F59817","F59896",2022-09-27,"Roach",1,13,178,20.4313454210271,2.69429710057642
"F59817","F59896",2022-09-28,"Roach",4,46,177,18.0937002887994,2.29910734324926
"F59817","F59896",2022-09-29,"Roach",10,249,483,15.5775391238461,2.02617806231613
"F59817","F59896",2022-09-30,"Roach",71,205,431,19.9853060369569,1.53045319217059
"F59817","F59896",2022-10-01,"Roach",12,37,330,19.1394386094125,1.12582581460302
"F59817","F59896",2022-10-02,"Roach",7,22,173,21.1014822602906,1.79857113717428
"F59817","F59896",2022-10-03,"Roach",9,60,112,23.8541003547081,0.700576271153383
"F59817","F59896",2022-10-04,"Roach",1,35,154,27.5269001097436,2.65964463091837
"F59817","F59896",2022-10-05,"Roach",16,181,377,25.765839029499,0.971476332152142
"F59817","F59896",2022-10-06,"Roach",20,101,92,26.4634418143787,1.37153071273715
"F59817","F59896",2022-10-07,"Roach",13,63,443,23.4434825109882,1.25998620405362
"F59817","F59896",2022-10-08,"Roach",15,83,324,25.5685631045361,0.980337765293082
"F59817","F59896",2022-10-09,"Roach",288,304,237,16.8114303325963,0.938733986420003
"F59817","F59896",2022-10-10,"Roach",13,184,421,15.5337580437048,1.49896756209691
"F59817","F59896",2022-10-11,"Roach",75,340,470,14.9320344373348,0.819644731034296
"F59817","F59896",2022-10-12,"Roach",40,323,340,16.8464506705504,1.31517868768005
"F59817","F59896",2022-10-13,"Roach",43,272,315,16.8269063330262,1.24446950596738
"F59817","F59896",2022-10-14,"Roach",89,169,284,17.3413276299976,0.527345208350502
"F59817","F59896",2022-10-15,"Roach",128,173,356,13.6347074844248,0.506210940273813
"F59817","F59896",2022-10-16,"Roach",5,89,208,12.1715952022322,1.51081637169344
"F59817","F59896",2022-10-17,"Roach",28,560,493,10.0965885632275,1.33869698362576
"F59817","F59896",2022-10-18,"Roach",23,170,2129,8.59895463320865,0.626307326113128
"F59817","F59896",2022-10-19,"Roach",25,187,458,13.0273677132812,1.12187788227048
